,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
1097,c-1049,Valencia CF,n-157,,225.65m,Mestalla,26,25.0,9,42100000.0,14
1098,c-368,Sevilla FC,n-157,,209.00m,Ramón Sánchez-Pizjuán,24,28.8,9,62100000.0,18
1099,c-1050,Villarreal CF,n-157,,278.20m,La Cerámica,23,28.4,8,25120000.0,9
1100,c-621,Athletic Bilbao,n-157,,226.30m,San Mamés,25,27.8,4,0.0,1
1101,c-681,Real Sociedad,n-157,,376.00m,Reale Arena ,27,25.4,6,27500000.0,5
1102,c-1084,Málaga CF,n-157,,18.50m,La Rosaleda,27,28.0,0,950000.0,8
1103,c-714,RCD Espanyol Barcelona,n-157,,113.70m,RCDE Stadium,27,26.1,5,-5800000.0,7
1104,c-16795,Granada CF,n-157,,47.00m,Nuevo Los Cármenes,28,28.0,3,27460000.0,8
1105,c-940,Celta de Vigo,n-157,,146.20m,Abanca Balaídos,23,26.4,6,-5150000.0,10
1106,c-897,Deportivo de La Coruña,n-157,,8.90m,Abanca Riazor,24,27.7,0,-435000.0,3
1107,c-367,Rayo Vallecano,n-157,,95.20m,Campo de Fútbol de Vallecas,25,28.8,6,-11100000.0,8
1108,c-993,Córdoba CF,n-157,,6.30m,Nuevo Arcángel,24,27.9,0,0.0,4
1109,c-3709,Getafe CF,n-157,,136.70m,Coliseum Alfonso Pérez,25,27.8,9,4750000.0,12
1110,c-3368,Levante UD,n-157,,41.60m,Ciutat de València,23,27.5,0,7800000.0,6
1111,c-1531,Elche CF,n-157,,60.70m,Manuel Martínez Valero,26,27.7,2,-7660000.0,10
1112,c-3302,UD Almería,n-157,,93.60m,Power Horse Stadium,26,26.2,3,-14880000.0,13
1113,c-1533,SD Eibar,n-157,,26.90m,Ipurua,26,28.3,0,2600000.0,5
1114,c-131,FC Barcelona,n-157,,767.00m,Spotify Camp Nou,22,25.5,17,-118500000.0,9
1115,c-418,Real Madrid,n-157,,860.50m,Santiago Bernabéu,24,27.6,16,12150000.0,17
1116,c-13,Atlético de Madrid,n-157,,457.00m,Civitas Metropolitano,22,28.6,16,-9250000.0,15
1117,c-1049,Valencia CF,n-157,,225.65m,Mestalla,26,25.0,9,42100000.0,14
1118,c-368,Sevilla FC,n-157,,209.00m,Ramón Sánchez-Pizjuán,24,28.8,9,62100000.0,18
1119,c-621,Athletic Bilbao,n-157,,226.30m,San Mamés,25,27.8,4,0.0,1
1120,c-1050,Villarreal CF,n-157,,278.20m,La Cerámica,23,28.4,8,25120000.0,9
1121,c-681,Real Sociedad,n-157,,376.00m,Reale Arena ,27,25.4,6,27500000.0,5
1122,c-940,Celta de Vigo,n-157,,146.20m,Abanca Balaídos,23,26.4,6,-5150000.0,10
1123,c-1084,Málaga CF,n-157,,18.50m,La Rosaleda,27,28.0,0,950000.0,8
1124,c-16795,Granada CF,n-157,,47.00m,Nuevo Los Cármenes,28,28.0,3,27460000.0,8
1125,c-714,RCD Espanyol Barcelona,n-157,,113.70m,RCDE Stadium,27,26.1,5,-5800000.0,7
1126,c-897,Deportivo de La Coruña,n-157,,8.90m,Abanca Riazor,24,27.7,0,-435000.0,3
